date,keyWords
2019-01-19,"['원피스', '핸드메이드코트', '롱패딩', '니트원피스', '여성숏패딩', '여성롱패딩', '몽클레어여성패딩', '여성핸드메이드코트', '여성경량패딩', '여아한복', '쉬즈미스코트', '여성패딩', '여성코트', '키즈롱패딩', '코트', '남자롱패딩', '롱원피스', '여성체크코트', '여름원피스', '써스데이아일랜드원피스']"
2019-01-20,"['원피스', '핸드메이드코트', '롱패딩', '여성숏패딩', '니트원피스', '여성핸드메이드코트', '여성롱패딩', '몽클레어여성패딩', '여성경량패딩', '여아한복', '여성패딩', '쉬즈미스코트', '여성코트', '키즈롱패딩', '여성체크코트', '롱원피스', '코트', '남자롱패딩', '여름원피스', '써스데이아일랜드원피스']"
2019-01-21,"['원피스', '핸드메이드코트', '롱패딩', '니트원피스', '여성숏패딩', '여성롱패딩', '여성핸드메이드코트', '몽클레어여성패딩', '여아한복', '여성경량패딩', '여성패딩', '쉬즈미스코트', '키즈롱패딩', '여성코트', '여성체크코트', '롱원피스', '남자롱패딩', '모조에스핀코트', '코트', '블라우스']"
2019-01-22,"['원피스', '핸드메이드코트', '롱패딩', '니트원피스', '여성숏패딩', '여성롱패딩', '여아한복', '여성핸드메이드코트', '몽클레어여성패딩', '여성경량패딩', '여성패딩', '쉬즈미스코트', '여성체크코트', '여성코트', '키즈롱패딩', '롱원피스', '남자롱패딩', '모조에스핀코트', '코트', '블라우스']"
2019-01-23,"['핸드메이드코트', '원피스', '롱패딩', '니트원피스', '여성숏패딩', '여아한복', '여성핸드메이드코트', '여성롱패딩', '몽클레어여성패딩', '여성경량패딩', '쉬즈미스코트', '여성패딩', '여성체크코트', '여성코트', '롱원피스', '키즈롱패딩', '남자롱패딩', '코트', '모조에스핀코트', '블라우스']"
2019-01-24,"['핸드메이드코트', '원피스', '여아한복', '롱패딩', '여성숏패딩', '여성핸드메이드코트', '니트원피스', '여성경량패딩', '여성롱패딩', '몽클레어여성패딩', '여성체크코트', '여성코트', '쉬즈미스코트', '여성패딩', '롱원피스', '블라우스', '코트', '모조에스핀코트', '남자롱패딩', '제시뉴욕']"
2019-01-25,"['핸드메이드코트', '원피스', '여아한복', '여성핸드메이드코트', '롱패딩', '여성숏패딩', '니트원피스', '여성경량패딩', '여성롱패딩', '몽클레어여성패딩', '여성코트', '여성체크코트', '쉬즈미스코트', '여성패딩', '롱원피스', '남아한복', '블라우스', '모조에스핀코트', '코트', '올리브데올리브코트']"
2019-01-26,"['핸드메이드코트', '원피스', '여아한복', '롱패딩', '여성핸드메이드코트', '여성숏패딩', '니트원피스', '여성경량패딩', '여성롱패딩', '몽클레어여성패딩', '여성코트', '여성체크코트', '남아한복', '쉬즈미스코트', '블라우스', '롱원피스', '트위드자켓', '여성패딩', '올리브데올리브코트', '코트']"
2019-01-27,"['핸드메이드코트', '원피스', '여아한복', '여성핸드메이드코트', '롱패딩', '여성숏패딩', '니트원피스', '여성경량패딩', '여성롱패딩', '몽클레어여성패딩', '남아한복', '여성코트', '여성체크코트', '쉬즈미스코트', '트위드자켓', '롱원피스', '블라우스', '코트', '올리브데올리브코트', '키즈롱패딩']"
2019-01-28,"['핸드메이드코트', '원피스', '여아한복', '여성핸드메이드코트', '롱패딩', '여성숏패딩', '남아한복', '여성경량패딩', '니트원피스', '여성코트', '여성롱패딩', '몽클레어여성패딩', '트위드자켓', '여성체크코트', '쉬즈미스코트', '롱원피스', '올리브데올리브코트', '코트', '블라우스', '여성패딩']"
