,view_rate,date,start time,finish time
비켜라 운명아,19.1,20190301,저녁8:30, 9:00
열혈사제,17.7,20190301,밤10:00, 11:10
왼손잡이 아내,12.6,20190301,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
궁금한 이야기 Y,12.5,20190301,저녁8:55, 9:55
KBS 뉴스 9,12.2,20190301,밤9시, 10시매주 주말 밤 9시 
나 혼자 산다,10.75,20190301,밤11:10, 12:50
인간극장,8.8,20190301,아침7:50, 8:25
KBS 930 뉴스,7.7,20190301,9시30분, 10시  매주 토요일 오전 9시 30분 
나의 독립 영웅,7.6,20190301,,에러
아침마당,7.5,20190301,8시25분, 오전 9시 30분
하나뿐인 내편,27.200000000000003,20190302,,에러
열혈사제,16.6,20190302,밤10:00, 11:10
정글의 법칙,11.5,20190302,밤9:00, 10:00
전지적 참견 시점,11.45,20190302,밤11:10, 12:50
슬플 때 사랑한다,10.5,20190302,밤9:05, 11:05
불후의 명곡,9.3,20190302,매주 일요일 오후 5시 30분,에러
KBS 뉴스 9,8.8,20190302,밤9시, 10시매주 주말 밤 9시 
백종원의 골목식당,8.4,20190302,밤10:35,
시니어토크쇼 황금연못,7.8,20190302,,에러
노래가 좋아,7.4,20190302,저녁8:30, 9:25
하나뿐인 내편,30.3,20190303,,에러
미운 우리 새끼,19.6,20190303,밤9:05, 11:05
내사랑 치유기,12.149999999999999,20190303,밤9:05, 11:05
해피선데이,12.0,20190303,오후5시, 7시 50분
전국노래자랑,11.4,20190303,일요일낮, 1:20
TV 동물농장,10.9,20190303,일요일오전, 10:50
KBS 뉴스 12,8.7,20190303,낮12시, 오후 1시
미스터리 음악쇼 복면가왕,7.4,20190303,저녁6:15, 7:55
런닝맨 (텔레비전 프로그램),6.7,20190303,오후5:00, 6:25
집사부일체,6.7,20190303,저녁6:25, 7:55
비켜라 운명아,20.3,20190304,저녁8:30, 9:00
왼손잡이 아내,14.0,20190304,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,12.7,20190304,밤9시, 10시매주 주말 밤 9시 
나의 독립 영웅,9.7,20190304,,에러
인간극장,9.3,20190304,아침7:50, 8:25
가요무대,8.3,20190304,밤10:00, 10:50
우리말 겨루기,7.7,20190304,저녁7:40, 8:25
KBS 뉴스 7,7.4,20190304,저녁7시, 7시 40분
생활의 달인,6.8,20190304,밤8:55, 9:40
왕이 된 남자,6.762499999999999,20190304,,에러
비켜라 운명아,21.0,20190305,저녁8:30, 9:00
왼손잡이 아내,13.0,20190305,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,12.9,20190305,밤9시, 10시매주 주말 밤 9시 
인간극장,9.4,20190305,아침7:50, 8:25
본격연예 한밤,8.5,20190305,밤8:55, 9:55
KBS 뉴스 7,8.5,20190305,저녁7시, 7시 40분
나의 독립 영웅,8.3,20190305,,에러
용왕님 보우하사,8.3,20190305,저녁7:10, 7:55 [1회
해치 (드라마),7.949999999999999,20190305,10:00, 11:10
6시 내고향,7.9,20190305,저녁6시, 7시
비켜라 운명아,20.4,20190306,저녁8:30, 9:00
왜그래 풍상씨,17.05,20190306,밤10:00, 11:10
왼손잡이 아내,14.0,20190306,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,12.5,20190306,밤9시, 10시매주 주말 밤 9시 
아침마당,10.1,20190306,8시25분, 오전 9시 30분
인간극장,8.9,20190306,아침7:50, 8:25
용왕님 보우하사,8.6,20190306,저녁7:10, 7:55 [1회
살림하는 남자들,8.0,20190306,밤9:15, 10:30
KBS 뉴스 7,7.7,20190306,저녁7시, 7시 40분
백종원의 골목식당,7.199999999999999,20190306,밤10:35,
비켜라 운명아,20.5,20190307,저녁8:30, 9:00
왜그래 풍상씨,19.3,20190307,밤10:00, 11:10
왼손잡이 아내,13.5,20190307,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,13.2,20190307,밤9시, 10시매주 주말 밤 9시 
인간극장,9.8,20190307,아침7:50, 8:25
순간포착 세상에 이런일이,9.6,20190307,밤8:55, 9:40
아침마당,8.8,20190307,8시25분, 오전 9시 30분
용왕님 보우하사,8.6,20190307,저녁7:10, 7:55 [1회
한국인의 밥상,8.4,20190307,,에러
나의 독립 영웅,7.4,20190307,,에러
비켜라 운명아,19.3,20190308,저녁8:30, 9:00
열혈사제,18.4,20190308,밤10:00, 11:10
왼손잡이 아내,13.9,20190308,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
나 혼자 산다,13.35,20190308,밤11:10, 12:50
KBS 뉴스 9,12.0,20190308,밤9시, 10시매주 주말 밤 9시 
궁금한 이야기 Y,11.4,20190308,저녁8:55, 9:55
인간극장,9.4,20190308,아침7:50, 8:25
용왕님 보우하사,8.7,20190308,저녁7:10, 7:55 [1회
TV는 사랑을 싣고,8.6,20190308,오전10:40, 11:50
아침마당,8.1,20190308,8시25분, 오전 9시 30분
하나뿐인 내편,28.599999999999998,20190309,,에러
열혈사제,16.45,20190309,밤10:00, 11:10
슬플 때 사랑한다,11.125000000000002,20190309,밤9:05, 11:05
정글의 법칙,11.0,20190309,밤9:00, 10:00
전지적 참견 시점,9.6,20190309,밤11:10, 12:50
불후의 명곡,8.6,20190309,매주 일요일 오후 5시 30분,에러
시니어토크쇼 황금연못,8.2,20190309,,에러
노래가 좋아,8.2,20190309,저녁8:30, 9:25
그것이 알고싶다,7.8,20190309,밤11:00, 12:30
걸어서 세계속으로,7.3,20190309,아침9:40, 10:30
하나뿐인 내편,26.150000000000002,20190310,,에러
미운 우리 새끼,23.35,20190310,밤9:05, 11:05
해피선데이,12.6,20190310,오후5시, 7시 50분
TV 동물농장,11.9,20190310,일요일오전, 10:50
집사부일체,9.65,20190310,저녁6:25, 7:55
KBS 뉴스 12,9.6,20190310,낮12시, 오후 1시
전국노래자랑,9.3,20190310,일요일낮, 1:20
KBS 뉴스 9,9.0,20190310,밤9시, 10시매주 주말 밤 9시 
다큐멘터리 3일,7.5,20190310,,에러
TV쇼 진품명품,7.1,20190310,오전11:00, 낮 12:00
