,view_rate,date,start time,finish time
SKY 캐슬,24.357,20190201,,에러
비켜라 운명아,19.6,20190201,저녁8:30, 9:00
KBS 뉴스 9,12.9,20190201,밤9시, 10시매주 주말 밤 9시 
정글의 법칙,11.7,20190201,밤9:00, 10:00
왼손잡이 아내,11.7,20190201,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
궁금한 이야기 Y,11.4,20190201,저녁8:55, 9:55
TV는 사랑을 싣고,10.7,20190201,오전10:40, 11:50
6시 내고향,9.4,20190201,저녁6시, 7시
KBS 뉴스 7,9.2,20190201,저녁7시, 7시 40분
인간극장,8.9,20190201,아침7:50, 8:25
하나뿐인 내편,32.95,20190202,,에러
신과의 약속,14.149999999999999,20190202,밤9:05, 11:05
전지적 참견 시점,11.100000000000001,20190202,밤11:10, 12:50
불후의 명곡,10.6,20190202,매주 일요일 오후 5시 30분,에러
KBS 뉴스 9,9.4,20190202,밤9시, 10시매주 주말 밤 9시 
걸어서 세계속으로,8.9,20190202,아침9:40, 10:30
시니어토크쇼 황금연못,8.8,20190202,,에러
노래가 좋아,8.6,20190202,저녁8:30, 9:25
김영철의 동네 한 바퀴,8.0,20190202,저녁7:10, 8:00
KBS 930 뉴스,7.8,20190202,9시30분, 10시  매주 토요일 오전 9시 30분 
하나뿐인 내편,26.933333333333334,20190203,,에러
미운 우리 새끼,19.5,20190203,밤9:05, 11:05
전국노래자랑,12.4,20190203,일요일낮, 1:20
내사랑 치유기,12.325,20190203,밤9:05, 11:05
해피선데이,11.2,20190203,오후5시, 7시 50분
TV 동물농장,10.5,20190203,일요일오전, 10:50
KBS 뉴스 12,9.7,20190203,낮12시, 오후 1시
미스터리 음악쇼 복면가왕,9.2,20190203,저녁6:15, 7:55
KBS 뉴스 9,8.0,20190203,밤9시, 10시매주 주말 밤 9시 
집사부일체,7.35,20190203,저녁6:25, 7:55
비켜라 운명아,15.0,20190204,저녁8:30, 9:00
우리말 겨루기,12.2,20190204,저녁7:40, 8:25
KBS 뉴스 9,11.3,20190204,밤9시, 10시매주 주말 밤 9시 
한국인의 밥상,10.2,20190204,,에러
생활의 달인,8.5,20190204,밤8:55, 9:40
KBS 뉴스광장,8.3,20190204,매주월요일, 토요일 아침 6시 
아침마당,8.3,20190204,8시25분, 오전 9시 30분
인간극장,7.8,20190204,아침7:50, 8:25
가요무대,7.6,20190204,밤10:00, 10:50
6시 내고향,7.0,20190204,저녁6시, 7시
비켜라 운명아,15.4,20190205,저녁8:30, 9:00
KBS 뉴스 9,11.7,20190205,밤9시, 10시매주 주말 밤 9시 
이웃집 찰스,8.6,20190205,,에러
