,view_rate,date,start time,finish time
비켜라 운명아,14.4,20190101,저녁8:30, 9:00
특선영화,12.5,20190101,에러,에러
특선영화,11.2,20190101,에러,에러
KBS 뉴스 9,10.8,20190101,밤9시, 10시매주 주말 밤 9시 
KBS 930 뉴스,9.9,20190101,9시30분, 10시  매주 토요일 오전 9시 30분 
KBS 뉴스 7,9.9,20190101,저녁7시, 7시 40분
나의 독립 영웅,9.7,20190101,,에러
본격연예 한밤,9.6,20190101,밤8:55, 9:55
아침마당,8.7,20190101,8시25분, 오전 9시 30분
복수가 돌아왔다,8.55,20190101,밤10:00, 11:10
비켜라 운명아,17.8,20190102,저녁8:30, 9:00
황후의 품격,14.350000000000001,20190102,밤10:00, 11:10
KBS 뉴스 9,11.8,20190102,밤9시, 10시매주 주말 밤 9시 
왼손잡이 아내,11.5,20190102,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
인간극장,10.6,20190102,아침7:50, 8:25
아침마당,10.6,20190102,8시25분, 오전 9시 30분
비밀과 거짓말 (대한민국의 드라마),10.5,20190102,저녁7:15, 7:55
백종원의 골목식당,10.0,20190102,밤10:35,
남자친구 (드라마),9.845,20190102,,에러
6시 내고향,8.2,20190102,저녁6시, 7시
비켜라 운명아,19.1,20190103,저녁8:30, 9:00
황후의 품격,15.799999999999999,20190103,밤10:00, 11:10
비밀과 거짓말 (대한민국의 드라마),13.0,20190103,저녁7:15, 7:55
KBS 뉴스 9,11.8,20190103,밤9시, 10시매주 주말 밤 9시 
왼손잡이 아내,11.4,20190103,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
순간포착 세상에 이런일이,11.4,20190103,밤8:55, 9:40
인간극장,10.4,20190103,아침7:50, 8:25
한국인의 밥상,10.1,20190103,,에러
KBS 뉴스 7,8.7,20190103,저녁7시, 7시 40분
차달래 부인의 사랑,8.6,20190103,오전9:00, 9:40
비켜라 운명아,18.3,20190104,저녁8:30, 9:00
나 혼자 산다,14.9,20190104,밤11:10, 12:50
SKY 캐슬,14.389,20190104,,에러
궁금한 이야기 Y,13.3,20190104,저녁8:55, 9:55
KBS 뉴스 9,13.0,20190104,밤9시, 10시매주 주말 밤 9시 
비밀과 거짓말 (대한민국의 드라마),12.7,20190104,저녁7:15, 7:55
정글의 법칙,12.55,20190104,밤9:00, 10:00
왼손잡이 아내,11.0,20190104,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
TV는 사랑을 싣고,10.6,20190104,오전10:40, 11:50
인간극장,10.1,20190104,아침7:50, 8:25
하나뿐인 내편,30.1,20190105,,에러
알함브라 궁전의 추억,12.44,20190105,,에러
신과의 약속,12.25,20190105,밤9:05, 11:05
SKY 캐슬,11.569500000000001,20190105,,에러
전지적 참견 시점,10.350000000000001,20190105,밤11:10, 12:50
