,view_rate,date,start time,finish time
비켜라 운명아,20.4,20190401,저녁8:30, 9:00
왼손잡이 아내,13.6,20190401,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,12.9,20190401,밤9시, 10시매주 주말 밤 9시 
나의 독립 영웅,9.7,20190401,,에러
우리말 겨루기,9.2,20190401,저녁7:40, 8:25
인간극장,9.0,20190401,아침7:50, 8:25
생활의 달인,8.7,20190401,밤8:55, 9:40
해치 (드라마),8.2,20190401,10:00, 11:10
가요무대,7.7,20190401,밤10:00, 10:50
아침마당,7.4,20190401,8시25분, 오전 9시 30분
비켜라 운명아,19.3,20190402,저녁8:30, 9:00
왼손잡이 아내,13.4,20190402,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,12.0,20190402,밤9시, 10시매주 주말 밤 9시 
인간극장,9.9,20190402,아침7:50, 8:25
해치 (드라마),8.85,20190402,10:00, 11:10
불타는 청춘 (텔레비전 프로그램),8.2,20190402,밤10:40, 12:00
본격연예 한밤,8.2,20190402,밤8:55, 9:55
국민 여러분!,8.1,20190402,밤10시, 11시 10분
이웃집 찰스,7.6,20190402,,에러
용왕님 보우하사,7.3,20190402,저녁7:10, 7:55 [1회
비켜라 운명아,18.0,20190403,저녁8:30, 9:00
닥터 프리즈너,14.7,20190403,밤10시, 11시 10분
왼손잡이 아내,13.6,20190403,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,11.7,20190403,밤9시, 10시매주 주말 밤 9시 
인간극장,9.6,20190403,아침7:50, 8:25
아침마당,9.5,20190403,8시25분, 오전 9시 30분
살림하는 남자들,8.0,20190403,밤9:15, 10:30
나의 독립 영웅,7.2,20190403,,에러
백종원의 골목식당,6.85,20190403,밤10:35,
JTBC 뉴스룸,6.459,20190403,,에러
비켜라 운명아,19.8,20190404,저녁8:30, 9:00
닥터 프리즈너,15.5,20190404,밤10시, 11시 10분
왼손잡이 아내,14.2,20190404,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
내일은 미스트롯,11.007,20190404,,에러
KBS 뉴스 9,11.0,20190404,밤9시, 10시매주 주말 밤 9시 
순간포착 세상에 이런일이,10.4,20190404,밤8:55, 9:40
한국인의 밥상,9.1,20190404,,에러
인간극장,9.1,20190404,아침7:50, 8:25
아침마당,7.4,20190404,8시25분, 오전 9시 30분
내일은 미스트롯,7.364,20190404,,에러
열혈사제,19.95,20190405,밤10:00, 11:10
비켜라 운명아,18.7,20190405,저녁8:30, 9:00
왼손잡이 아내,12.5,20190405,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,12.0,20190405,밤9시, 10시매주 주말 밤 9시 
궁금한 이야기 Y,11.399999999999999,20190405,저녁8:55, 9:55
나 혼자 산다,10.7,20190405,밤11:10, 12:50
KBS 뉴스광장,8.4,20190405,매주월요일, 토요일 아침 6시 
KBS 뉴스특보,5.7,20190405,,에러
SBS 8 뉴스,5.6,20190405,매주월요일, 목요일 밤 7:50 
MBC 뉴스데스크,5.4,20190405,매주월요일, 목요일 저녁 7:55 
세상에서 제일 예쁜 내 딸,22.75,20190406,,에러
