,view_rate,date,start time,finish time
꽃길만 걸어요,17.7,20200101,저녁8:30, 9:00
백종원의 골목식당,12.3,20200101,밤10:35,
우아한 모녀,12.2,20200101,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
꽃길만 걸어요,18.6,20200102,저녁8:30, 9:00
내일은 미스터트롯,12.717,20200102,,에러
우아한 모녀,12.3,20200102,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
꽃길만 걸어요,18.1,20200103,저녁8:30, 9:00
스토브리그 (드라마),14.25,20200103,밤10:00, 11:10
나 혼자 산다,12.2,20200103,밤11:10, 12:50
사랑은 뷰티풀 인생은 원더풀,21.55,20200104,저녁7:55, 밤 9:15
스토브리그 (드라마),13.8,20200104,밤10:00, 11:10
정글의 법칙,9.600000000000001,20200104,밤9:00, 10:00
사랑은 뷰티풀 인생은 원더풀,25.85,20200105,저녁7:55, 밤 9:15
미운 우리 새끼,13.833333333333334,20200105,밤9:05, 11:05
슈퍼맨이 돌아왔다,12.100000000000001,20200105,오후9:15, 11:10
꽃길만 걸어요,18.9,20200106,저녁8:30, 9:00
우아한 모녀,13.5,20200106,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
낭만닥터 김사부 2,13.45,20200106,밤9:40, 11시
꽃길만 걸어요,18.3,20200107,저녁8:30, 9:00
낭만닥터 김사부 2,16.8,20200107,밤9:40, 11시
KBS 뉴스 9,11.7,20200107,밤9시, 10시매주 주말 밤 9시 
꽃길만 걸어요,17.2,20200108,저녁8:30, 9:00
우아한 모녀,12.4,20200108,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,11.3,20200108,밤9시, 10시매주 주말 밤 9시 
꽃길만 걸어요,18.5,20200109,저녁8:30, 9:00
내일은 미스터트롯,13.449,20200109,,에러
우아한 모녀,12.1,20200109,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
꽃길만 걸어요,17.2,20200110,저녁8:30, 9:00
스토브리그 (드라마),15.0,20200110,밤10:00, 11:10
나 혼자 산다,12.1,20200110,밤11:10, 12:50
사랑은 뷰티풀 인생은 원더풀,19.5,20200111,저녁7:55, 밤 9:15
스토브리그 (드라마),15.1,20200111,밤10:00, 11:10
그것이 알고싶다,9.2,20200111,밤11:00, 12:30
사랑은 뷰티풀 인생은 원더풀,24.1,20200112,저녁7:55, 밤 9:15
미운 우리 새끼,11.566666666666665,20200112,밤9:05, 11:05
슈퍼맨이 돌아왔다,10.8,20200112,오후9:15, 11:10
꽃길만 걸어요,17.8,20200113,저녁8:30, 9:00
낭만닥터 김사부 2,14.75,20200113,밤9:40, 11시
우아한 모녀,12.3,20200113,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
꽃길만 걸어요,18.3,20200114,저녁8:30, 9:00
낭만닥터 김사부 2,18.200000000000003,20200114,밤9:40, 11시
우아한 모녀,11.4,20200114,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
꽃길만 걸어요,17.1,20200115,저녁8:30, 9:00
우아한 모녀,11.1,20200115,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
살림하는 남자들,10.6,20200115,밤9:15, 10:30
꽃길만 걸어요,17.5,20200116,저녁8:30, 9:00
우아한 모녀,12.3,20200116,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
인간극장,10.1,20200116,아침7:50, 8:25
꽃길만 걸어요,16.5,20200117,저녁8:30, 9:00
스토브리그 (드라마),16.366666666666667,20200117,밤10:00, 11:10
우아한 모녀,11.3,20200117,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
사랑은 뷰티풀 인생은 원더풀,23.1,20200118,저녁7:55, 밤 9:15
스토브리그 (드라마),14.733333333333334,20200118,밤10:00, 11:10
불후의 명곡,10.7,20200118,매주 일요일 오후 5시 30분,에러
사랑은 뷰티풀 인생은 원더풀,24.35,20200119,저녁7:55, 밤 9:15
미운 우리 새끼,11.200000000000001,20200119,밤9:05, 11:05
TV 동물농장,10.55,20200119,일요일오전, 10:50
꽃길만 걸어요,17.5,20200120,저녁8:30, 9:00
낭만닥터 김사부 2,16.55,20200120,밤9:40, 11시
KBS 뉴스 9,12.1,20200120,밤9시, 10시매주 주말 밤 9시 
꽃길만 걸어요,18.1,20200121,저녁8:30, 9:00
낭만닥터 김사부 2,17.4,20200121,밤9:40, 11시
우아한 모녀,12.3,20200121,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
꽃길만 걸어요,17.4,20200122,저녁8:30, 9:00
우아한 모녀,11.5,20200122,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
2020년 AFC ,10.454,20200122,에러,에러
꽃길만 걸어요,18.1,20200123,저녁8:30, 9:00
내일은 미스터트롯,17.842,20200123,,에러
우아한 모녀,11.4,20200123,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
꽃길만 걸어요,13.1,20200124,저녁8:30, 9:00
KBS 뉴스 9,11.1,20200124,밤9시, 10시매주 주말 밤 9시 
TV는 사랑을 싣고,8.2,20200124,오전10:40, 11:50
사랑은 뷰티풀 인생은 원더풀,18.65,20200125,저녁7:55, 밤 9:15
불후의 명곡,8.5,20200125,매주 일요일 오후 5시 30분,에러
KBS 뉴스 9,7.6,20200125,밤9시, 10시매주 주말 밤 9시 
사랑은 뷰티풀 인생은 원더풀,22.299999999999997,20200126,저녁7:55, 밤 9:15
사우디아라비아,11.196,20200126,,에러
전국노래자랑,10.0,20200126,일요일낮, 1:20
꽃길만 걸어요,19.3,20200127,저녁8:30, 9:00
낭만닥터 김사부 2,16.0,20200127,밤9:40, 11시
KBS 뉴스 9,13.4,20200127,밤9시, 10시매주 주말 밤 9시 
낭만닥터 김사부 2,18.95,20200128,밤9:40, 11시
꽃길만 걸어요,18.6,20200128,저녁8:30, 9:00
KBS 뉴스 9,12.9,20200128,밤9시, 10시매주 주말 밤 9시 
꽃길만 걸어요,18.0,20200129,저녁8:30, 9:00
우아한 모녀,11.5,20200129,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,11.3,20200129,밤9시, 10시매주 주말 밤 9시 
내일은 미스터트롯,24.331,20200130,,에러
내일은 미스터트롯,19.309,20200130,,에러
꽃길만 걸어요,18.5,20200130,저녁8:30, 9:00
꽃길만 걸어요,18.5,20200131,저녁8:30, 9:00
스토브리그 (드라마),14.566666666666668,20200131,밤10:00, 11:10
KBS 뉴스 9,12.1,20200131,밤9시, 10시매주 주말 밤 9시 
사랑은 뷰티풀 인생은 원더풀,21.65,20200201,저녁7:55, 밤 9:15
스토브리그 (드라마),13.833333333333334,20200201,밤10:00, 11:10
불후의 명곡,9.9,20200201,매주 일요일 오후 5시 30분,에러
사랑은 뷰티풀 인생은 원더풀,24.9,20200202,저녁7:55, 밤 9:15
미운 우리 새끼,11.700000000000001,20200202,밤9:05, 11:05
전국노래자랑,10.8,20200202,일요일낮, 1:20
꽃길만 걸어요,19.7,20200203,저녁8:30, 9:00
낭만닥터 김사부 2,16.9,20200203,밤9:40, 11시
KBS 뉴스 9,13.1,20200203,밤9시, 10시매주 주말 밤 9시 
낭만닥터 김사부 2,20.15,20200204,밤9:40, 11시
꽃길만 걸어요,19.4,20200204,저녁8:30, 9:00
우아한 모녀,13.7,20200204,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
꽃길만 걸어요,18.4,20200205,저녁8:30, 9:00
KBS 뉴스 9,12.9,20200205,밤9시, 10시매주 주말 밤 9시 
우아한 모녀,12.7,20200205,저녁7:50, 8:25 (본방송)매주 목요일 낮 12:10 
내일은 미스터트롯,25.783,20200206,,에러
내일은 미스터트롯,21.741,20200206,,에러
꽃길만 걸어요,20.2,20200206,저녁8:30, 9:00
꽃길만 걸어요,18.4,20200207,저녁8:30, 9:00
