iter	Passed	Remaining
441	32229	4229
442	32276	4152
443	32322	4076
444	32364	4000
445	32407	3923
446	32447	3847
447	32487	3770
448	32529	3694
449	32572	3619
450	32612	3543
451	32652	3467
452	32694	3392
453	32738	3317
454	32782	3242
455	32820	3166
456	32858	3091
457	32899	3016
458	32975	2945
459	33057	2874
460	33139	2803
461	33224	2732
462	33301	2661
463	33382	2590
464	33459	2518
465	33538	2447
466	33617	2375
467	33694	2303
468	33769	2232
469	33854	2160
470	33926	2088
471	34002	2017
472	34081	1945
473	34161	1873
474	34236	1801
475	34317	1730
476	34405	1658
477	34487	1587
478	34571	1515
479	34651	1443
480	34734	1372
481	34828	1300
482	34920	1229
483	35011	1157
484	35099	1085
485	35177	1013
486	35268	941
487	35353	869
488	35432	797
489	35518	724
490	35608	652
491	35685	580
492	35772	507
493	35848	435
494	35932	362
495	36013	290
496	36092	217
497	36170	145
498	36255	72
499	36336	0
